iso_code,date,new_cases,people_fully_vaccinated
OWID_HIC,13.12.20,324329,4751
OWID_NAM,13.12.20,210833,4751
OWID_WRL,13.12.20,535483,4751
USA,13.12.20,191846,4751
OWID_HIC,14.12.20,340255,4853
OWID_NAM,14.12.20,231974,4853
OWID_WRL,14.12.20,545390,4853
USA,14.12.20,212054,4853
OWID_HIC,15.12.20,398678,5093
OWID_NAM,15.12.20,246359,5093
OWID_WRL,15.12.20,658799,5093
USA,15.12.20,223199,5093
OWID_HIC,16.12.20,444784,5545
OWID_NAM,16.12.20,260669,5545
OWID_WRL,16.12.20,723625,5545
USA,16.12.20,236809,5545
OWID_HIC,17.12.20,457647,6277
OWID_NAM,17.12.20,264866,6277
OWID_WRL,17.12.20,742151,6277
USA,17.12.20,238982,6277
OWID_HIC,18.12.20,456999,7504
OWID_NAM,18.12.20,276507,7504
OWID_WRL,18.12.20,723431,7504
USA,18.12.20,250499,7504
ISR,19.12.20,2734,4
OWID_ASI,19.12.20,95657,4
OWID_HIC,19.12.20,366446,8545
OWID_NAM,19.12.20,222982,8541
OWID_WRL,19.12.20,618751,8545
USA,19.12.20,198794,8541
ISR,20.12.20,1874,4
OWID_ASI,20.12.20,87502,4
OWID_HIC,20.12.20,333060,9297
OWID_NAM,20.12.20,211789,9293
OWID_WRL,20.12.20,539459,9297
USA,20.12.20,193421,9293
CHE,21.12.20,10002,1
ISR,21.12.20,3499,4
OWID_ASI,21.12.20,79419,4
OWID_EUR,21.12.20,187251,1
OWID_HIC,21.12.20,359463,10730
OWID_NAM,21.12.20,219852,10725
OWID_WRL,21.12.20,554103,10730
USA,21.12.20,200925,10725
CAN,22.12.20,6231,1
CHE,22.12.20,4275,1
ISR,22.12.20,4228,4
OWID_ASI,22.12.20,89955,4
OWID_EUR,22.12.20,243718,1
OWID_HIC,22.12.20,412459,13540
OWID_NAM,22.12.20,229113,13535
OWID_WRL,22.12.20,664966,13540
USA,22.12.20,203449,13534
CAN,23.12.20,6897,1
CHE,23.12.20,5033,1
ISR,23.12.20,2535,4
OWID_ASI,23.12.20,90026,4
OWID_EUR,23.12.20,252913,1
OWID_HIC,23.12.20,439381,16392
OWID_NAM,23.12.20,247741,16387
OWID_WRL,23.12.20,691974,16392
USA,23.12.20,222520,16386
CAN,24.12.20,6732,1
CHE,24.12.20,4898,1
ISR,24.12.20,4656,4
OWID_ASI,24.12.20,88721,4
OWID_EUR,24.12.20,254427,1
OWID_HIC,24.12.20,432893,17527
OWID_NAM,24.12.20,237889,17522
OWID_WRL,24.12.20,688579,17527
USA,24.12.20,211528,17521
CAN,25.12.20,4047,1
CHE,25.12.20,0,1
ISR,25.12.20,4713,4
OWID_ASI,25.12.20,86064,4
OWID_EUR,25.12.20,181848,1
OWID_HIC,25.12.20,267053,17624
OWID_NAM,25.12.20,140230,17619
OWID_WRL,25.12.20,488959,17624
USA,25.12.20,120705,17618
CAN,26.12.20,5201,1
CHE,26.12.20,0,1
ISR,26.12.20,4273,4
OWID_ASI,26.12.20,75879,4
OWID_EUR,26.12.20,139901,1
OWID_HIC,26.12.20,339583,18552
OWID_NAM,26.12.20,240956,18547
OWID_WRL,26.12.20,515970,18552
USA,26.12.20,226988,18546
CAN,27.12.20,5465,1
