date,new_cases,people_fully_vaccinated
13.12.20,324329,4751
13.12.20,210833,4751
13.12.20,535483,4751
13.12.20,191846,4751
14.12.20,340255,4853
14.12.20,231974,4853
14.12.20,545390,4853
14.12.20,212054,4853
15.12.20,398678,5093
15.12.20,246359,5093
15.12.20,658799,5093
15.12.20,223199,5093
16.12.20,444784,5545
16.12.20,260669,5545
16.12.20,723625,5545
16.12.20,236809,5545
17.12.20,457647,6277
17.12.20,264866,6277
17.12.20,742151,6277
17.12.20,238982,6277
18.12.20,456999,7504
18.12.20,276507,7504
18.12.20,723431,7504
18.12.20,250499,7504
19.12.20,2734,4
19.12.20,95657,4
19.12.20,366446,8545
19.12.20,222982,8541
19.12.20,618751,8545
19.12.20,198794,8541
20.12.20,1874,4
20.12.20,87502,4
20.12.20,333060,9297
20.12.20,211789,9293
20.12.20,539459,9297
20.12.20,193421,9293
21.12.20,10002,1
21.12.20,3499,4
21.12.20,79419,4
21.12.20,187251,1
21.12.20,359463,10730
21.12.20,219852,10725
21.12.20,554103,10730
21.12.20,200925,10725
22.12.20,6231,1
22.12.20,4275,1
22.12.20,4228,4
22.12.20,89955,4
22.12.20,243718,1
22.12.20,412459,13540
22.12.20,229113,13535
22.12.20,664966,13540
22.12.20,203449,13534
23.12.20,6897,1
23.12.20,5033,1
23.12.20,2535,4
23.12.20,90026,4
23.12.20,252913,1
23.12.20,439381,16392
23.12.20,247741,16387
23.12.20,691974,16392
23.12.20,222520,16386
24.12.20,6732,1
24.12.20,4898,1
24.12.20,4656,4
24.12.20,88721,4
24.12.20,254427,1
24.12.20,432893,17527
24.12.20,237889,17522
24.12.20,688579,17527
24.12.20,211528,17521
25.12.20,4047,1
25.12.20,0,1
25.12.20,4713,4
25.12.20,86064,4
25.12.20,181848,1
25.12.20,267053,17624
25.12.20,140230,17619
25.12.20,488959,17624
25.12.20,120705,17618
26.12.20,5201,1
26.12.20,0,1
26.12.20,4273,4
26.12.20,75879,4
26.12.20,139901,1
26.12.20,339583,18552
26.12.20,240956,18547
26.12.20,515970,18552
26.12.20,226988,18546
27.12.20,5465,1
27.12.20,0,1
27.12.20,12399,19
27.12.20,2806,4
27.12.20,71533,4
27.12.20,61477,19
27.12.20,135404,20
27.12.20,244082,19326
27.12.20,151682,19302
27.12.20,413026,19326
27.12.20,135776,19301
28.12.20,6507,1
28.12.20,10087,4
28.12.20,14004,83
28.12.20,416,1
28.12.20,765,28
28.12.20,5815,4
28.12.20,69955,4
28.12.20,81814,112
28.12.20,172249,116
28.12.20,325046,23385
28.12.20,193354,23265
28.12.20,501963,23385
28.12.20,173625,23264
29.12.20,1677,11
29.12.20,8667,2
29.12.20,4197,7
29.12.20,10862,1
29.12.20,19112,735
29.12.20,2621,1
29.12.20,475,2
29.12.20,1545,29
29.12.20,5113,5
29.12.20,81720,5
29.12.20,150145,779
29.12.20,250436,786
29.12.20,428742,29132
29.12.20,232616,28341
29.12.20,670871,29132
29.12.20,202593,28339
30.12.20,2831,21
30.12.20,8750,2
30.12.20,5424,8
30.12.20,16420,1
30.12.20,31941,769
30.12.20,2783,1
30.12.20,973,3
30.12.20,1718,29
30.12.20,4186,5
30.12.20,1367,1
30.12.20,83750,5
30.12.20,186368,825
30.12.20,285621,833
30.12.20,480440,36206
30.12.20,249707,35368
30.12.20,737690,36206
30.12.20,219911,35366
31.12.20,2254,21
31.12.20,6856,2
31.12.20,4391,9
31.12.20,17039,1
31.12.20,23233,856
31.12.20,2249,1
31.12.20,734,3
31.12.20,1622,30
31.12.20,6678,5
31.12.20,1861,1
31.12.20,85099,5
31.12.20,173996,913
31.12.20,280162,922
31.12.20,566591,39348
31.12.20,339987,38421
31.12.20,829009,39348
31.12.20,312022,38419
01.01.21,1793,21
01.01.21,3731,3
01.01.21,0,10
01.01.21,13361,1
01.01.21,15575,870
01.01.21,2451,2
01.01.21,416,3
01.01.21,1753,30
01.01.21,5248,5
01.01.21,711,2
01.01.21,75378,5
01.01.21,131441,929
01.01.21,228484,939
01.01.21,373709,45455
01.01.21,193613,44511
01.01.21,571161,45455
01.01.21,172389,44508
02.01.21,880,34
02.01.21,6931,3
02.01.21,0,10
02.01.21,3447,1
02.01.21,11036,948
02.01.21,1611,2
02.01.21,383,3
02.01.21,3394,30
02.01.21,6289,5
02.01.21,314,2
02.01.21,70806,5
02.01.21,64742,1020
02.01.21,159723,1030
02.01.21,427736,48353
02.01.21,299285,47318
02.01.21,591570,48353
02.01.21,282395,47315
03.01.21,842,34
03.01.21,10645,3
03.01.21,0,10
03.01.21,5012,1
03.01.21,10356,957
03.01.21,1170,2
03.01.21,342,3
03.01.21,4961,32
03.01.21,6743,5
03.01.21,568,2
03.01.21,69199,5
03.01.21,78246,1032
03.01.21,168640,1042
03.01.21,362523,50787
03.01.21,223323,49740
03.01.21,522749,50787
03.01.21,743,1
03.01.21,204017,49737
04.01.21,876,45
04.01.21,10065,3
04.01.21,9665,11
04.01.21,6233,1
04.01.21,12320,1075
04.01.21,2076,3
04.01.21,390,3
04.01.21,6110,35
04.01.21,6631,7
04.01.21,10798,9
04.01.21,621,3
04.01.21,72400,7
04.01.21,101242,1175
04.01.21,203731,1186
04.01.21,378599,96482
04.01.21,210899,95289
04.01.21,559428,96482
04.01.21,772,1
04.01.21,185531,95286
05.01.21,1848,71
05.01.21,7328,6
05.01.21,4020,13
05.01.21,12921,3
05.01.21,18349,1170
05.01.21,1992,4
05.01.21,429,10
05.01.21,5325,40
05.01.21,7966,9
05.01.21,15375,11
05.01.21,824,3
05.01.21,82660,11
05.01.21,179797,1313
05.01.21,282876,1326
05.01.21,497416,184644
05.01.21,255690,183307
05.01.21,743971,184644
05.01.21,28,2
05.01.21,2512,1
05.01.21,229830,183301
06.01.21,2997,99
06.01.21,8308,448
06.01.21,4808,19
06.01.21,17332,4
06.01.21,26663,1257
06.01.21,2216,4
06.01.21,717,11
06.01.21,7832,46
06.01.21,7309,11
06.01.21,20326,13
06.01.21,1229,6
06.01.21,787,11
06.01.21,87739,14
06.01.21,168382,1442
06.01.21,275497,1472
06.01.21,519698,357182
06.01.21,291893,355696
06.01.21,793834,357182
06.01.21,31,3
06.01.21,3354,2
06.01.21,260228,355248
07.01.21,2923,120
07.01.21,8540,1424
